job_title,salary_usd,years_of_experience,city,jd
iOS Developer,1400.0,0.0,"Hanoi, Vietnam","Participate in development projects for iOS applications.
Serve as technical lead on projects and propose technical solutions.
Design, implement coding, testing, and documentation to deliver source code that meets user and system requirements and release milestones.
Perform bug fixing, maintenance, and feature enhancement to ensure application quality.
Requirements: extensive experience with Swift and Objective-C, iOS SDK, multi-threaded networked iOS applications, and custom iOS components; strong UI scalability using size classes; solid MVC/OOP skills; unit testing and automation testing; continuous integration.
Proficiency in MVVM, AVFoundation, XCTest and knowledge of video on demand technologies and streaming protocols (including HLS)."
Regional Manager - ASM (Traditional Distributor Channel),800.0,2.0,Hanoi,"Manage the assigned regional area and develop markets for agricultural machinery and household equipment.
Plan and execute sales strategies to meet targets, visit the market, and nurture customers in the assigned region.
Update price quotations, introduce new products, share sales policies and promotions with customers.
Gather competitor information and provide market assessments to management.
Coordinate with relevant departments to handle customer complaints regarding product quality, delivery times, and warranties.
Work with the accounting department to collect debts from customers under management and prepare periodic reports as required."
Financial Advisor - Telesales / Sales,320.0,0.0,Hanoi and Ho Chi Minh City,"Telesales role providing financial loan product guidance to SMEs.
Assist clients in applying for loans and guide them through the registration process.
Collaborate with banking partners to ensure platform operational targets are met.
Provide customer support via hotline and handle loan consultation requests through internal channels and marketing.
Qualifications include college degree or higher in economics, business administration, corporate finance, accounting, or auditing; minimum 6 months in telesales or sales/customer service; preference for experience in technology companies and knowledge of loans/finance.
Demonstrate strong communication, sales drive, seriousness and commitment, resilience under pressure, and good listening and emotional control."
Traditional Medicine Doctor,400.0,0.5,"Hanoi, Hoa Binh","Examine, advise, and treat patients in accordance with prescriptions from the department head, either directly or in collaboration with other staff.
Welcome and assess patients, provide clinical consultations, and manage related medical conditions.
Follow orders from the department head and participate in direct or coordinated treatment plans for patients.
Operate and maintain medical equipment; perform regular maintenance and ensure equipment stability.
Monitor performance and propose improvements to clinic operations and service delivery; collaborate with department managers on events and service initiatives.
Support other departments upon request and adhere to the director's requirements; demonstrate careful, enthusiastic, ethical, proactive, and team-oriented professional conduct."
Sales Manager,800.0,2.0,Hanoi,"Lead sales of stainless steel products and industrial tanks, and develop the market for piping and fittings.
Develop business plans and sales strategies for the team to achieve revenue targets and KPIs.
Support staff in acquiring new customers and maintaining existing and potential customers.
Responsible for training and monitoring the performance of the sales team.
Encourage team leaders to manage their teams and execute sales plans.
Maintain cross-department relationships to drive company activities.
Introduce, guide, and advise customers on product and project information."
Agency Director / Sales Director,800.0,5.0,Hanoi,"Lead and support the CEO in managing agency operations and develop business plans aligned with short- and long-term objectives.
Establish processes, regulations, and guidelines for the company's sales activities to ensure safety and efficiency.
Make investment and business decisions in line with the strategy to maximize profitability.
Responsible for training, organizing the structure of personnel, and managing all sales department activities to achieve company and brand sales targets.
Requires at least 5 years of leadership experience in the automotive industry; possess strategic vision, strong leadership, and a passion for business.
Career advancement opportunities to become a key leader within the organization; professional, dynamic work environment."
Accounting Software Deployment Specialist,400.0,0.5,Hanoi,"Deploy and implement accounting and enterprise management software.
Collect and analyze client business requirements and validate survey documents.
Collaborate with the technical team to develop tailored software solutions.
Translate customer requirements into development tasks and specifications.
Demonstrate strong communication and problem-solving skills; work diligently, quickly, and proactively.
Preference for candidates with accounting knowledge or experience deploying accounting software and ERP systems."
Product Director,1600.0,2.0,Hanoi,"Lead product development planning: research market and user needs, set product objectives, and define the product roadmap.
Manage and drive product development plans; communicate the roadmap clearly to the product team; leverage data analytics to measure quality and drive continuous improvement.
Implement a product-led go-to-market strategy; coordinate with Sales and Marketing to bring the product to market; emphasize customer care and word-of-mouth growth.
Manage relationships with banking partners and business agents; collaborate to align partnerships with the product roadmap and revenue targets; develop programs to expand sales channels.
Requirements: at least 2 years of experience in B2B sales; strong understanding of accounting, sales, and cash collection processes; strong logic, analytical, communication, and problem-solving skills; high attention to detail; teamwork and leadership ability."
Agricultural Produce Sales Manager,600.0,3.0,Hanoi,"Plan, organize, and manage distribution of agricultural produce from producers to agents, stores, supermarkets, and end consumers.
Build and maintain strong relationships with business partners, customers, and stakeholders in the distribution channel.
Research and analyze market demand, customer behavior, competition, and trends to propose effective distribution strategies and programs.
Manage and develop the distribution sales team, including training, coaching, and performance evaluation.
Monitor and report on sales, costs, profits, inventory, quality, and service across the distribution channel.
Propose and implement promotions, advertising, and sales support activities for the distribution channel."
Sales Engineer - Lighting Industry,400.0,2.0,"Ho Chi Minh City, Hanoi","Bridge the company and customers by joining the sales team and presenting lighting control solutions for plants, hotels, office buildings, malls, stadiums, golf courses, ports, airports, hospitals, and international schools.
Identify, pursue, and develop new customers; build sustainable relationships with clients.
Understand customer needs, advise and propose suitable solutions, and address questions about products and services.
Conduct outbound calls, send emails, and meet with customers to introduce company products and services.
Prepare reports and perform market analysis to evaluate performance as required by management.
Demonstrate required qualifications: 2 years of experience in technical sales or industrial project sales for hotels; strong communication, negotiation, problem-solving, and teamwork skills; proficiency in computers and office software."
Car Sales Executive at Showroom,800.0,0.0,Ho Chi Minh City,"Welcome customers in the showroom and present vehicles (both static and test-drive) to clients.
Assess customer needs and preferences to tailor vehicle recommendations.
Discuss and negotiate contracts with customers.
Track payments and arrange vehicle delivery to customers.
Explain vehicle usage and communicate warranty and service policies before delivery.
Follow up with customers after delivery to build and maintain relationships; perform other sales department tasks as assigned by supervisor/manager."
Frontend Developer (Angular),1040.0,0.0,"Hanoi, Vietnam","Develop information security projects and large-scale company projects using JavaScript/TypeScript and Angular.
Analyze requirements and develop web applications with complex business logic; work in Agile/Scrum teams.
Develop web applications on the JavaScript/TypeScript platform; research and adopt new technologies.
Collaborate in a team and perform other project tasks as assigned by management.
Ensure proficiency with RESTful services, functional programming, and clean code; optimize application performance.
Qualifications: Bachelor's degree in Information Technology or Information Security; at least 2 years of frontend experience with Angular (2+), HTML, JavaScript, TypeScript, SCSS.
Nice-to-have: unit testing, Microfrontends, design patterns, experience in Agile environments, and ability to build core Angular components."
Information Security Systems Administrator,400.0,0.0,Hanoi,"Administer information security systems and applications, ensuring stable, continuous, and secure operation.
Operate and monitor system security, respond to incidents, and provide periodic and ad hoc reports on the infrastructure.
Conduct security monitoring for networks and applications, identify vulnerabilities, and study attack vectors and security mechanisms.
Plan, design, deploy, upgrade, and optimize information security systems and applications; manage quality, documentation, processes, and assets.
Require a university degree in IT, Telecommunications, or Information Security; read English technical materials; possess knowledge of network/system security and SOC operations; familiarity with Unix/Linux, networks, policies, and security platforms; experience with log analysis on systems (Firewall, IPS, Endpoint Protection, Unix/Linux, Windows, Applications) and managing secure applications and networks.
Experience with security tools and processes; ability to work independently or as part of a team; preferred certifications include CCNA, CCNP, LPI, CompTIA Security+, CEH, CISSP, CCSP."
Sales Administration Officer,500.0,1.0,"Hanoi, Vietnam","Process incoming orders and manage order-related tasks.
Handle order fulfillment and outgoing shipments.
Perform pricing and cost management duties for materials.
Serve as the primary liaison with customers to address inquiries.
Collect revenue information and monitor sales performance.
Assess customer satisfaction and gather feedback for improvements.
Support additional tasks and responsibilities as assigned by supervisors."
Sales Manager (New ALPHA Project),1400.0,1.0,Hanoi,"Plan business strategy and sales targets to drive growth for the ALPHA project.
Develop and expand the customer base through proactive outreach and relationship building.
Oversee daily sales operations and monitor performance to ensure targets are met.
Provide customer support before, during, and after the sale to ensure satisfaction and retention.
Develop and promote personal brand on social platforms (TikTok, Zalo, Facebook) to boost visibility and engagement.
Requirements: diploma or university degree; age 25–40; strong interest in sales, consulting, professional appearance, and willingness to learn; preferred experience in sales, banking, or insurance."
Marketing Specialist,480.0,2.0,Hanoi,"Collaborate with the Head and Deputy to develop marketing plans focusing on online brand marketing.
Implement brand activities and digital marketing across online tools per the plan; plan content for Fanpage and website; post approved content; update keyword trends; propose follower/traffic programs; provide monthly reports on website and social metrics.
Manage and deploy brand materials: produce and manage catalogs, leaflets, POSM, and branded items; allocate, supervise, and propose updates to promotional tools to ensure consistent brand image at points of sale with high quality.
Coordinate with departments to organize events such as store openings, customer appreciation events, company events, roadshows, and activations.
Monitor market and competitors; compile monthly market research, report weekly/monthly or as needed on branding activities supporting sales; stay updated on new marketing trends and POSM to optimize Brand Marketing strategies.
Perform other duties assigned within the scope of the position."
Sales and Personal Financial Advisor,480.0,2.0,Hanoi,"Plan and proactively identify potential clients.
Advise on financial solutions and design tailored life insurance plans for clients.
Assist clients with the claims process for insurance benefits.
Develop and promote personal brand across social media platforms.
Requirements: University/College degree; age 25-38; interest in sales and client care; existing relationships in insurance, finance, banking, real estate, travel, and beauty services; confident communication and professional appearance; eager to learn.
Experience in sales, banking, or insurance is preferred."
Area Sales Manager (OTC Channel),720.0,3.0,"Hanoi, Ho Chi Minh City, Da Nang, Can Tho, Binh Duong, Dong Nai","Oversee OTC channel sales targets for the assigned area and drive growth and market share.
Collaborate with departments to develop sales policies and incentive schemes, and recruit, manage, and develop the Medical Representatives (MRs).
Build and maintain relationships with customers, pharmacies, and drugstores in the assigned area; receive orders and coordinate with the sales admin.
Collect accurate market feedback to support marketing activities; monitor sales with Sales Admin & Warehouse to ensure stock availability, minimize stockouts and expiry, and coordinate timely distribution.
Coordinate with Finance & HR to calculate salaries, incentives, and selling expenses for the sales team.
Take ownership of OTC sales activities in the designated area; experience with tender dossiers is a plus."
Java Engineer,1000.0,0.0,"Hanoi, Vietnam","Analyze customer requirements, write requirement analysis documents, specifications, and detailed design for software projects.
Implement assigned features according to the detailed solution documents.
Identify, debug, and fix defects during development and deployment.
Write and execute unit tests to ensure code quality.
Merge code and integrate the system, participate in source code management processes.
Design modules and components according to the existing architecture; create installation and operation guides."
Head of Admissions Consulting Team,480.0,2.0,"Vinh, Nghe An","Manage a team of 6-10 sales staff, setting goals and ensuring achievement of targets.
Plan, strategize, and execute weekly, monthly, quarterly, and yearly business plans to source, advise, and close enrollments.
Collaborate with schools, buildings, and organizations sharing client segments to identify potential candidates.
Monitor and drive team performance to meet KPIs; lead and support staff in converting potential clients to students.
Recruit, train, and develop the sales team to align with company requirements and standards.
Prepare and provide reports to management as required and handle additional responsibilities assigned by direct supervisor."
Sales/Telesales and Admissions Counselor,480.0,0.0,Hanoi,"Advise and answer inquiries about TOEIC/IELTS courses offered by the system.
Leverage warm data provided by the company to drive sales.
Responsible for achieving assigned sales targets, prospecting and nurturing new customers.
Identify and develop potential customers through media, social networks, forums, events, flyers, and partner outreach.
Monitor market and competitors; provide regular reports on findings.
Perform tasks as directed by the direct supervisor and maintain enthusiasm for business and consulting.
Prefer candidates with strong telesales skills; English knowledge is a plus."
Sales Executive / Sales Advisor at Showroom,320.0,0.0,Hanoi,"Provide showroom-based sales consultations and assist customers with purchases.
Answer supplier and order-related calls, and confirm orders with customers.
Track merchandise intake from suppliers and monitor stock levels at the showroom.
Create orders in the sales software and coordinate with the shipping department to prepare shipments.
Ensure goods are properly packaged and ready for delivery, and manage customer payments.
Maintain daily sales records and basic accounting tasks, including cashiering and inventory control."
Healthcare Services Sales Specialist,680.0,1.0,"Hanoi, Vietnam","Develop business plans, identify and engage potential customers, and grow clinic services.
Identify, present, advise, and persuade clients to purchase healthcare service packages (e.g., health check packages and specialty service packages).
Seek and negotiate contracts with companies/organizations to provide services.
Manage customer relationships, handle feedback, and resolve issues within authority or escalate as needed.
Execute phased sales plans to drive product/service growth and meet revenue targets; monitor against personal quotas and contribute to team targets monthly/quarterly/yearly.
Expand distribution channels and recruit/train Sales Agents/CTVs in Hanoi and nearby provinces; supervise and report monthly revenue with partners; coordinate with Marketing for events to promote services."
Assistant to CEO,600.0,2.0,Hanoi,"Assist the CEO with business administration, analysis, financial and investment planning, and reporting.
Manage business operations by enforcing processes, regulations, training, compliance, and reporting.
Analyze and plan annual business targets and monthly KPIs for operations.
Develop and implement marketing plans and multi-channel sales campaigns (online and offline).
Prepare monthly and yearly operation performance reports and support strategic business planning for products, channels, and customers.
Coordinate between the CEO and departments, manage schedules, support internal and external relations, and handle other tasks as assigned."
Regional Sales Manager - Nationwide,400.0,1.0,An Giang and 28 other locations nationwide,"Lead and manage a regional sales team without direct selling to customers.
Advise leadership and develop plans to organize and implement sales activities.
Oversee the Regional/Team operations to achieve assigned sales targets while ensuring compliance with policies and procedures.
Plan and execute sales activities for the team and support recruitment, development of the sales network.
Train, coach, and mentor agents on product knowledge and job-related skills.
Monitor sales performance and motivate agents; perform other tasks as assigned by leadership."
Sales Advisor / Business Development Specialist - Passenger Cars and Trucks,400.0,0.0,Ho Chi Minh City,"Achieve personal vehicle sales targets.
Prospect, nurture, and develop relationships with customers; manage potential customer information.
Conduct marketing and customer care activities as directed for the assigned market; ensure compliance with policies and procedures.
Adhere to sales policies; monitor contract progress, accounts receivable, and vehicle handover.
Requirements: Diploma or higher in Automotive Technology; basic knowledge of trucks and buses features.
Demonstrate negotiation and persuasive skills; proficient in office software."
Sales Executive / Sales Consultant,400.0,0.0,Ho Chi Minh City,"Meet personal vehicle sales targets for passenger cars and trucks.
Identify, nurture, and develop relationships with customers; manage leads and customer information.
Conduct marketing activities and provide customer service aligned with the assigned market; ensure compliance with policies and procedures.
Comply with sales policies, monitor sales contracts, accounts receivable, and vehicle handover processes.
Bachelor's degree or higher; major in automobile technology engineering preferred; basic knowledge of truck and bus technology encouraged.
Demonstrate negotiation and persuasive skills; proficient in office software."
Customer Care Advisor in Hai Phong,320.0,0.0,Hai Phong,"Receive pre-existing customer data from a domestic shipping company.
Recommend services that meet customer needs.
Work with a diverse customer base in the shipping sector and provide tailored care.
Assist customers with questions and create shipping accounts; guide them to place orders via the shipping app.
Qualifications: college or university degree; proficient in computer use, especially Microsoft Office (Excel, PowerPoint, Word).
No prior experience required; strong listening, analytical, and problem-solving skills; good communication."
IT Technician,360.0,4.0,"Dak Lak, Vietnam","Install, maintain, repair, and upgrade computer network systems, network devices, software, and hardware for the company.
Manage and monitor network systems to ensure stable, secure, and efficient operations.
Provide technical support to users and resolve issues related to networks, software, and hardware.
Participate in IT projects and apply information technology to business operations.
Contribute to digital transformation initiatives, with emphasis on familiarity with Office 365.
Candidates should hold a Diploma/College/University degree in Information Technology, Network Administration, or related fields; possess knowledge of computer networks, network equipment, software, and hardware; able to troubleshoot network, software, and hardware issues; capable of working independently and in a team."
"Sales Associate (Korean, English)",400.0,2.0,"Ho Chi Minh City, Hanoi, Vietnam","Maintain ongoing relationships with existing customers.
Prepare quotes and negotiate terms with clients.
Update customer and order information in the company software.
Coordinate with the accounting department to monitor contracts and payment status.
Collaborate with other departments to deliver high-quality service.
Qualifications: bachelor's or associate degree; experience in the apparel/manufacturing industry; proficiency in English, Japanese, or Korean with four skills; negotiation, communication, and teamwork."
IOS Developer,1400.0,0.0,Hanoi,"Participate in development projects for iOS applications and contribute to technical leadership on projects.
Propose technical solutions to various problems and perform design, implementation, coding, testing, and documentation to meet user and system requirements.
Fix bugs, maintain, and enhance existing applications to ensure release milestones are met.
Build with Swift and Objective-C, leveraging the iOS SDK; develop multi-threaded networked iOS mobile applications and custom iOS components.
Demonstrate strong MVC/OO programming skills with past work examples; implement unit testing and automation testing, and support continuous integration.
Understand video-on-demand technologies and streaming protocols (including HLS); apply MVVM and AVFoundation concepts where appropriate."
Sales Leader - Software Sales Management,600.0,3.0,Ho Chi Minh City,"Identify target markets and develop business plans aligned with the company's strategy and market potential.
Propose strategies to approach and expand the customer base; update sales programs to attract more potential customers.
Support and coordinate marketing plans; design sales programs to achieve monthly/quarterly/yearly KPIs.
Manage and train team members to build strong relationships with customers.
Organize promotions, seminars, and events to bring products closer to customers.
Monitor competitor activity and manage multi-channel sales (Telesales, Inbox, Market Sales) and report daily operations to leadership."
Marketing Ads Specialist,280.0,0.5,Hanoi,"Operate and optimize online marketing channels (Facebook, Google) with substantial budgets.
Ideate and deploy advertising content on fan pages, landing pages, Zalo to support campaigns.
Set up and manage advertising accounts.
Monitor, analyze, and report campaign performance metrics.
Collaborate with the team and contribute to marketing research and insights.
Require at least 6 months of marketing experience or willingness to be trained; college degree or higher; own laptop."
Head of Sales - Beauty Division,2000.0,3.0,Ho Chi Minh City,"Lead and manage the sales team.
Apply AI-driven data analysis to optimize marketing and sales strategies.
Develop and implement training programs for sales staff and AI tools usage.
Evaluate marketing campaigns using AI-derived insights and adjust strategies accordingly.
Build and maintain long-term relationships with customers by understanding their needs and goals.
Oversee recruitment, target allocation, training, and performance monitoring of the sales team.
Identify potential markets and monitor market dynamics, competitors, and new products."
Sales Leader - Software Sales,600.0,3.0,Ho Chi Minh City,"Identify target markets and develop business plans aligned with the company strategy and market potential.
Propose strategies to reach and expand the customer base; update sales programs to attract more prospects.
Support and coordinate with marketing to plan campaigns and design various sales programs to meet monthly, quarterly, and yearly KPIs.
Manage and train team members to build strong relationships with customers.
Organize promotions, seminars, and events to bring products closer to customers; monitor competitor activity.
Oversee multi-channel sales efforts (Telesales, inbox checks, market sales) and report daily results to leadership."
Front End Developer (Angular),960.0,0.0,"Hanoi, Vietnam","Develop front-end system for website layers and collaborate with the development team to implement and optimize the product UI.
Deliver optimized and polished user interfaces aligned with project requirements.
Work onsite at the client's bank office in central Hanoi and coordinate with PM and other stakeholders.
Requirements: minimum 3 years of frontend experience, including 2 years with Angular; strong knowledge of JavaScript/TypeScript; familiarity with UI frameworks such as Ant Design, Bootstrap, or PrimeNG; experience with forms and form validation in Angular.
Proficient in English reading to understand technical documentation and communicate with the team."
Marketing Officer - Promotions,320.0,1.0,Hanoi,"Coordinate with store management, marketing leadership, and relevant departments to develop programs and plans to drive sales and implement promotional campaigns.
Research the market and competitors; propose online and offline promotions to boost sales.
Support the rollout of new products/services by obtaining information from relevant departments and updating product/service details in the system.
Organize and coordinate promotional campaigns across departments and business units to ensure accurate implementation of promotional content.
Manage gifts, vouchers, and collaborate with printing staff to produce promotional materials and distribute them to branches on time.
Collect data and evaluate the effectiveness of promotions to inform improvements and renew campaigns; collaborate with sales on proposals and cost payments."
Software Tester,280.0,1.0,Hanoi,"Plan tests, design test scripts, prepare test data and test information and environment.
Test logic for web and mobile apps, including UI/UX testing, and identify defects.
Analyze results, monitor and report test outcomes, and assess product quality.
Perform functional, security, performance, manual and automated testing.
Analyze, evaluate, and contribute ideas to improve and optimize the product.
Carry out additional tasks as assigned by supervisor."
Software Solutions Consultant,800.0,0.9,Hanoi,"Receive data from the company, advise on software, and guide customers on how to use the software; install software for customers who intend to purchase.
Provide digital marketing strategy and solutions for customers using the company’s products and services.
Prospect new customers and manage, advise customers through the company’s websites, fan pages, groups, and Zalo channels.
Prepare reports and perform tasks as directed by superiors when required.
Requirements: experience in customer care, telesales, sales, consulting, or related roles for at least 1 month.
Location: Hanoi; office hours Mon-Fri 08:00-17:30, Sat 08:00-12:00; lunch break 12:00-13:30; closed on Sat afternoon and Sun."
Regional Manager / Area Manager / ASM,720.0,1.0,Hanoi,"Oversee store operations and regional revenue management for multiple stores within the assigned area.
Manage costs and expenditures, including shrinkage, waste, staffing, energy, repairs, and other overheads.
Ensure compliance with processes and regulations for opening/closing shifts, inventory, revenue submission, quality, safety, and labor standards.
Control equipment, tools, signage, and ensure operations are in good condition and updated to standards.
Plan and monitor inventory and sales targets; coordinate weekly orders and adjustments to meet company goals.
Develop sales initiatives and marketing activities to drive revenue and attract new customers; build strong relationships with customers, colleagues, and landlords; address incidents and report promptly."
Director of Agency / Sales Director,800.0,5.0,Hanoi,"Support the company CEO in managing and operating the Agency's activities.
Develop business plans aligned with short-term and long-term goals of the unit.
Establish processes, regulations, and guidelines for the company's business activities, ensuring safety and efficiency.
Make investment and business decisions aligned with the strategy to maximize profitability.
Responsible for training, organizing the structure, and managing all sales department activities to achieve targets set by the company and the brand.
Requirements: at least 5 years of leadership experience in the passenger car industry; strategic vision, strong leadership, and passion for business; willingness to face challenges and adapt in a dynamic business environment."
Content Marketing Executive,360.0,1.0,Hanoi,"Create and craft content for campaigns, advertising programs, brand communications, and both internal and external communications.
Build and manage communications channels and social media presence.
Develop community groups and enhance member experience through activities and marketing touchpoints.
Seed campaigns within communities/groups aligned with marketing objectives.
Stay updated on marketing trends and use tools to ensure efficient marketing operations.
Report progress and results on a regular basis and collaborate with the Marketing team on additional activities."
Deputy Head of Sales,1200.0,1.0,"Hanoi, Vietnam","Build and implement sales strategy for the insurance department
Manage, lead, and develop the insurance sales team
Develop business plans and set sales targets for individuals and the department
Analyze the market and competition; propose actions to boost performance
Build and maintain relationships with major clients and expand existing portfolio
Monitor customer service processes and address issues; report results to senior management"
Key Account Staff,400.0,0.0,Hanoi,"Manage and strengthen relationships with key clients and identify growth opportunities.
Develop tailored account plans and seek new B2B partnerships; negotiate contracts.
Collaborate with Sales and Marketing to expand the client base and support marketing campaigns.
Provide market insights and assist in creating customized sales materials.
Track account performance and provide actionable insights to improve strategies."
Business Analyst,960.0,3.0,Hanoi,"Analyze business requirements and translate them into system development requirements by creating and managing URD, BRD, SRS, and API specification documents.
Clearly relay requirements to the development team to ensure accurate understanding and delivery.
Serve as a liaison between business, development, and design teams to clarify development and user experience requirements.
Collaborate with the software QA team to ensure the product is built according to approved analysis and design documents.
Engage in discussions during interviews or requirements clarification sessions as needed.
Assist with ongoing requirements refinement and ensure alignment with project goals."
IT Staff,360.0,4.0,"Đắk Lắk, Vietnam","Install, maintain, repair, and upgrade computer networks, networking devices, software, and hardware for the company.
Manage and monitor network systems to ensure stable, secure, and efficient operations.
Provide technical support to users and troubleshoot issues related to networks, software, and hardware.
Participate in IT projects and apply information technology to business operations.
Drive digital transformation within the company, with a preference for candidates familiar with Office 365.
Possess IT/related degree or qualifications in network administration or similar fields; strong networking knowledge.
Ability to work independently and in a team; proactive, responsible, and quick to learn."
Online Sales Representative (Full-Time) / Sales Consultant - Spa Aesthetics,600.0,2.0,Hanoi,"Manage all customer interaction channels, with primary responsibility for monitoring the Fanpage.
Directly consult on cosmetic tattooing services and close sales via Pancake and Telesales platforms.
Proactively optimize online consultation scripts and lead capture to maximize the rate of contact requests.
Schedule clients for service experiences.
Address questions and provide support before, during, and after sales; report weekly and monthly to the direct supervisor.
Requirements: female, 24-30 years old; at least 2 years of online sales experience; proficient in Pancake; fast typing; clear pronunciation; extroverted and energetic; own a laptop; experience in beauty/esthetic services is preferred."
Senior Data Engineer (SQL) – MSB - 1Y565,1300.0,0.0,Hanoi,"Participate in the research, development, and deployment of ETL, data integration, and big data solutions.
Review current data system design to identify advantages and risks, propose improvements, and implement remediation initiatives.
Stay up-to-date with new technologies and modern data models; evaluate and recommend optimal solutions for the bank's existing systems.
Support analytics and consulting on large-scale data solutions for systems and applications developed and deployed by the bank.
Build, control, deploy, and upgrade ETL, integration, data mining, and big data development infrastructure.
Collaborate on data modeling, real-time data integration, and design of scalable data architectures for financial applications."
